;Properties;ITEM;ITEM TYPOLOGY;;;
ApS;Attacks per Second 1,00;The Smoldering Core;Staff;W;;
ApS;Attacks per Second 1,40;The Spider Queen's Grasp (Witch Doctor);Ceremonial Knife;W;;
ApS;Attacks per Second 1,10;The Sultan of Blinding Sand;Sword 2H;W;;
ApS;Attacks per Second 1,20;The Three Hundredth Spear;Spear;W;;
ApS;Attacks per Second 1,10;The Tormentor;Staff;W;;
ApS;Attacks per Second 1,10;The Zweihander;Sword 2H;W;;
ApS;Attacks per Second 1,40;Thunderfury, Blessed Blade of the Windseeker;Sword;W;;
ApS;Attacks per Second 1,47-1,50;Unbound Bolt;Bow;W;;
ApS;Attacks per Second 1,40;Uskang;Bow;W;;
ApS;Attacks per Second 1,30;Utar's Roar;Axe;W;;
ApS;Attacks per Second 1,10;Valthek's Rebuke;Staff;W;;
ApS;Attacks per Second 1,40;Vengeful Wind (Monk) (Season 1);Fist Weapon;W;;
ApS;Attacks per Second 0,95;Vigilance;Polearm;W;;
ApS;Attacks per Second 1,40;Wand of Woh (Wizard);Wand;W;;
ApS;Attacks per Second 1,10;War of the Dead (Barbarian);Mighty Weapon 2H;W;;
ApS;Attacks per Second 1,15;Warmonger;Sword 2H;W;;
ApS;Attacks per Second 1,10;Warstaff of General Quang (Monk);Daibo;W;;
ApS;Attacks per Second 1,40;Wildwood;Sword;W;;
ApS;Attacks per Second 1,40;Windforce;Bow;W;;
ApS;Attacks per Second 1,50;Wizardspike;Dagger;W;;
ApS;Attacks per Second 1,10;Wojahnni Assaulter;Crossbow;W;;
ApS;Attacks per Second 1,40;Won Khim Lau (Monk);Fist Weapon;W;;
ApS;Attacks per Second 1,00;Wormwood (Season 2);Staff;W;;
ApS;Attacks per Second 0,90;Wrath of the Bone King;Mace 2H;W;;
ApS;Attacks per Second 1,40;Odyssey's End (Season 2);Bow;W;;
ApS;Attacks per Second 1,50;Eun-Jang-Do;Dagger;W;;
ApS;Attacks per Second 1,40;In-geom;Sword;W;;
ApS;Attacks per Second 1,15;Blood Brother;Sword 2H;W;;
ApS;Attacks per Second 1,15;Corrupted Ashbringer;Sword 2H;W;;
ARCANE ELEM;Arcane skills deal +20–25% more damage;Moonlight Ward;Amulet;A;;
ARCANE POWER MAX;Maximum Arcane Power +13-14;Blackhand Key (Wizard);Wand;W;;
ARCANE POWER MAX;Maximum Arcane Power +13-14;Chantodo's Force (Wizard);Source;A;;
ARCANE POWER MAX;Maximum Arcane Power +13-14;The Swami (Wizard);Wizard Hat;A;;
ARCANE X-Y;(981-1199)-(1175-1490) Arcane Damage;Arcane Barb;Crossbow;W;;
ARCANE X-Y;(981-1199)-(1175-1490) Arcane Damage;Blackhand Key (Wizard);Wand;W;;
ARCANE X-Y;(981-1199)-(1175-1490) Arcane Damage;Deadly Rebirth (Witch Doctor);Ceremonial Knife;W;;
ARCANE X-Y;(1177-1439)-(1410-1788) Arcane Damage ;Mark of the Magi;Staff;W;;
ARCANE X-Y;(981-1199)-(1175-1490) Arcane Damage;Slorak's Madness (Wizard);Wand;W;;
ARCANE X-Y;(981-1199)-(1175-1490) Arcane Damage;Telranden's Hand;Mace;W;;
ARCANE X-Y;(981-1199)-(1175-1490) Arcane Damage;The Ancient Bonesaber of Zumakalis;Sword;W;;
ARCANE X-Y;(1177-1439)-(1410-1788) Arcane Damage ;The Tormentor;Staff;W;;
ARCANE X-Y;(1177-1439)-(1410-1788) Arcane Damage ;Valthek's Rebuke;Staff;W;;
ARCHON;BONUS The damage bonus from kills while in Archon form now lasts for 10–15 seconds after Archon expires;The Swami (Wizard);Wizard Hat;A;;
ARMOR;Armor +373-397;Boots of Disregard (Horadric Cache);Boots;A;;
ARMOR;BONUS Increases Armor by 10% for 5 seconds;Bottomless Potion of the Tower;Legendary Potion;A;;
ARMOR;Armor +559-595;Cloak of Deception (Demon Hunter) (Horadric Cache);Cloak;A;;
ARMOR;BONUS On gold pickup: Gain armor for 5 seconds equal to the amount picked up;Goldwrap;Belt;A;;
ARMOR;Armor +373-397;Pauldrons of the Skeleton King (Horadric Cache);Shoulders;A;;
ARMOR;Armor +373-397;Dashing Pauldrons of Despair (Wizard);Shoulders;A;;
AS;Attack Speed +5-6%;Andariel's Visage;Helm;A;;
AS;Attack Speed +15-20%;Archfiend Arrows (Demon Hunter);Quiver;A;;
AS;Attack Speed +5-7%;Band of the Rue Chambers;Ring;A;;
AS;Attack Speed +5-7%;Blood-Magic Edge;Dagger;W;;
AS;Attack Speed +15-20%;Bombadier's Rucksack (Demon Hunter);Quiver;A;;
AS;Attack Speed +5-7%;Countess Julia's Cameo;Amulet;A;;
AS;Attack Speed +15-20%;Dead Man's Legacy (Demon Hunter);Quiver;A;;
AS;Attack Speed +5-7%;Echoing Fury;Mace;W;;
AS;Attack Speed +15-20%;Emimei's Duffel (Demon Hunter);Quiver;A;;
AS;Attack Speed +5-7%;Firebird's Talons (Wizard);Gloves;A;;
AS;Attack Speed +5-7%;Fleeting Strap;Belt;A;;
AS;Attack Speed +15-20%;Fletcher's Pride (Demon Hunter);Quiver;A;;
AS;BONUS Chance to double your attack speed when attacking;Flying Dragon (Monk);Daibo;W;;
AS;Attack Speed +5-7%;Fulminator;Sword;W;;
AS;Attack Speed +5-7%;Girdle of Giants (Barbarian);Mighty Belt;A;;
AS;Attack Speed +5-7%;Hellcat Waistguard;Belt;A;;
AS;Attack Speed +15-20%;Holy Point Shot (Demon Hunter);Quiver;A;;
AS;Attack Speed +5-7%;Kill;Dagger;W;;
AS;Attack Speed +5-7%;Lacuni Prowlers;Bracers;A;;
AS;Attack Speed +5-7%;Litany of the Undaunted;Ring;A;;
AS;Attack Speed +5-7%;Little Rogue;Sword;W;;
AS;Attack Speed +5-7%;Magefist;Gloves;A;;
AS;Attack Speed +5-6%;Mempo of Twilight;Helm;A;;
AS;Attack Speed +15-20%;Meticulous Bolts (Demon Hunter);Quiver;A;;
AS;Attack Speed +5-7%;Obsidian Ring of the Zodiac;Ring;A;;
AS;Attack Speed +7-9%;Oculus Ring;Ring;A;;
AS;Attack Speed +4,5-6%;Puzzle Ring;Ring;A;;
AS;Attack Speed +5-7%;Restraint;Ring;A;;
AS;Attack Speed +5-7%;Ring of Royal Grandeur (Horadric Cache);Ring;A;;
AS;Attack Speed +15-20%;Sin Seekers (Demon Hunter);Quiver;A;;
AS;Attack Speed +15-20%;Spines of Seething Hatred (Demon Hunter);Quiver;A;;
AS;Attack Speed +5-7%;Steady Strikers;Bracers;A;;
AS;Attack Speed +5-7%;Sydyru Crust;Bow;W;;
AS;Attack Speed +5-6%;Tal Rasha's Relentless Pursuit;Chest Armor;A;;
AS;Attack Speed +5-7%;Tasker and Theo;Gloves;A;;
AS;Attack Speed +5-7%;Telranden's Hand;Mace;W;;
AS;Attack Speed +5-7%;The Ancient Bonesaber of Zumakalis;Sword;W;;
AS;Attack Speed +15-20%;The Ninth Cirri Satchel (Demon Hunter);Quiver;A;;
AS;Attack Speed +5-7%;The Witching Hour;Belt;A;;
AS;Attack Speed +5-7%;Unbound Bolt;Bow;W;;
AS;Attack Speed +5-7%;Xephirian Amulet;Amulet;A;;
BARB RCR;BONUS Reduces the Fury cost of Seismic Slam by 25–30%;Fury of the Vanished Peak (Barbarian);Mighty Weapon 2H;W;;
BARB SKILL;BONUS Frenzy now stacks up to 10 times;Bastion's Revered (Barbarian);Mighty Weapon 2H;W;;
BARB SKILL;BONUS Leap can be cast again within 2 seconds before the cooldown begins;Lut Socks;Boots;A;;
BARB SKILL;BONUS Increases the duration of Ignore Pain by 4–6 seconds;Pride of Cassius (Barbarian);Mighty Belt;A;;
BARB SKILL;BONUS Frenzy gains the effect of every rune;The Undisputed Champion (Barbarian) (Season 2);Mighty Belt;A;;
BARB SKILL;BONUS Justice spawns a Blessed Hammer when it hits an enemy;Omnislash;Belt;A;;
BARB SKILL;BONUS Ground Stomp causes an Avalanche;Dread Iron (Barbarian);Mighty Belt;A;;
BARB SKILL DMG;Increases Ancient Spear Damage by 35–50%;The Three Hundredth Spear;Spear;W;;
BARB SKILL DMG;Increases Weapon Throw Damage by 35–50%;The Three Hundredth Spear;Spear;W;;
BARB SKILL DMG;BONUS Furious Charge deals 30–35% increased damage for every enemy hit while charging;Vile Ward;Shoulders;A;;
BARB SKILL DMG;BONUS Increase the damage of Whirlwind by 300–400% weapon damage;Skull Grasp;Ring;A;;
BARB SKILL DMG;BONUS Hammer of the Ancients returns 20–25 Fury if it hits 3 or less enemies;The Gavel of Judgment (Barbarian);Mighty Weapon 2H;W;;
BARB SKILL DMG;Increases Seismic Slam Damage by 40–50%;Fury of the Vanished Peak (Barbarian);Mighty Weapon 2H;W;;
BARB SKILL DMG;Increases Hammer of the Ancients Damage by 30–40%;The Gavel of Judgment (Barbarian);Mighty Weapon 2H;W;;
BARB SKILL DMG;Increases Call of the Ancients Damage by 45–60%;Immortal King's Boulder Breaker (Barbarian);Mighty Weapon 2H;W;;
BARB SKILLS;BONUS Rend can now stack up to 2 times on an enemy;Lamentation (Barbarian);Mighty Belt;A;;
BEASTS;+9-15% Damage to Beasts;Monster Hunter;Sword;W;;
BEASTS;+15-30% Damage to Beasts;Pig Sticker;Dagger;W;;
BLEED;34-39% chance to inflict Bleed for 300–400% weapon damage over 5 seconds;Ambo's Pride (Barbarian);Mighty Weapon;W;;
BLEED;34-39% chance to inflict Bleed for 300–400% weapon damage over 5 seconds;Flesh Tearer;Axe;W;;
BLEED;34-39% chance to inflict Bleed for 300–400% weapon damage over 5 seconds;Scarbringer (Monk);Fist Weapon;W;;
BLEED;34-39% chance to inflict Bleed for 300–400% weapon damage over 5 seconds;Skorn;Axe 2H;W;;
BLIND;+20-40% Chance to Blind on Hit;Blind Faith;Helm;A;;
BLIND;+20-40% Chance to Blind on Hit;The Sultan of Blinding Sand;Sword 2H;W;;
BLOOD 4 FEAR;BONUS Enemies slain while Feared die in a bloody explosion and cause other nearby enemies to flee in Fear (On death explosion weapon damage increased from 200-800% - No longer rolls against skill proc coefficients);Pandemonium Loop (Horadric Cache);Ring;A;;
BONUS;BONUS Teleport gains the effect of the Wormhole rune;Cosmic Strand (Wizard);Source;A;;
BONUS;Adds 1 random Passive skill (can't be rerolled);Hellfire Amulet (Dexterity);Amulet;A;;
BONUS;Adds 1 random Passive skill (can't be rerolled);Hellfire Amulet (Intelligence);Amulet;A;;
BONUS;Adds 1 random Passive skill (can't be rerolled);Hellfire Amulet (Strength);Amulet;A;;
CC;Critical Hit Chance Increased by +8-10%;Archfiend Arrows (Demon Hunter);Quiver;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Avarice Band (Horadric Cache);Ring;A;;
CC;Critical Hit Chance Increased by +8-10%;Blackthorne's Duncraig Cross;Amulet;A;;
CC;Critical Hit Chance Increased by +8-10%;Bombadier's Rucksack (Demon Hunter);Quiver;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Carnevil (Witch Doctor);Voodoo Mask;A;;
CC;Critical Hit Chance Increased by +8-10%;Chantodo's Force (Wizard);Source;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Custerian Wristguards;Bracers;A;;
CC;Critical Hit Chance Increased by +8-10%;Dead Man's Legacy (Demon Hunter);Quiver;A;;
CC;BONUS Gain 100% Critical Hit Chance against enemies at full health;Envious Blade (Horadric Cache);Dagger;W;;
CC;Critical Hit Chance Increased by +8-10%;Fists of Thunder (Monk);Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Gauntlets of Akkhan (Crusader);Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Gladiator Gauntlets;Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Golden Gorget of Leoric (Horadric Cache);Amulet;A;;
CC;Critical Hit Chance Increased by +8-10%;Haunt of Vaxo;Amulet;A;;
CC;Critical Hit Chance Increased by +8-10%;Immortal King's Irons;Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Jade Harvester's Mercy;Gloves;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Kekegi's Unbreakable Spirit (Monk);Spirit Stone;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Leoric's Signet;Ring;A;;
CC;Critical Hit Chance Increased by +8-10%;Light of Grace (Wizard);Source;A;;
CC;Critical Hit Chance Increased by +8-10%;Mara's Kaleidoscope;Amulet;A;;
CC;Critical Hit Chance Increased by +8-10%;Marauder's Gloves (Demon Hunter);Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Mirrorball (Wizard);Source;A;;
CC;Critical Hit Chance Increased by +8-10%;Moonlight Ward;Amulet;A;;
CC;Critical Hit Chance Increased by +8-10%;Myken's Ball of Hate (Wizard);Source;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Obsidian Ring of the Zodiac;Ring;A;;
CC;Critical Hit Chance Increased by +8-10%;Ouroboros;Amulet;A;;
CC;Critical Hit Chance Increased by +8-10%;Pride of the Invoker;Gloves;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Pride's Fall (Horadric Cache);Helm;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Promise of Glory;Bracers;A;;
CC;Critical Hit Chance Increased by +8-10%;Pull of the Earth;Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Raekor's Wraps (Barbarian);Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Roland's Grasp (Crusader);Gloves;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Sanguinary Vambraces (Horadric Cache);Bracers;A;;
CC;BONUS While below 20–25% Life, all attacks are guaranteed Critical Hits;Shi Mizu's Haori;Chest Armor;A;;
CC;Critical Hit Chance Increased by +8-10%;Shukrani's Triumph (Witch Doctor);Mojo;A;;
CC;Critical Hit Chance Increased by +8-10%;Sin Seekers (Demon Hunter);Quiver;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Skull Grasp;Ring;A;;
CC;Critical Hit Chance Increased by +8-10%;Spite (Witch Doctor);Mojo;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Strongarm Bracers;Bracers;A;;
CC;Critical Hit Chance Increased by +8-10%;Sunwuko's Paws;Gloves;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Tal Rasha's Guise of Wisdom;Helm;A;;
CC;Critical Hit Chance Increased by +8-10%;Tal Rasha's Unwavering Glare (Wizard);Source;A;;
CC;Critical Hit Chance Increased by +8-10%;The Shadow's Grasp;Gloves;A;;
CC;Critical Hit Chance Increased by +4,5-6%;The Wailing Host;Ring;A;;
CC;Critical Hit Chance Increased by +8-10%;Thing of the Deep (Witch Doctor);Mojo;A;;
CC;Critical Hit Chance Increased by +8-10%;Triumvirate (Wizard);Source;A;;
CC;Critical Hit Chance Increased by +8-10%;Uhkapian Serpent (Witch Doctor);Mojo;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Unity;Ring;A;;
CC;Critical Hit Chance Increased by +8-10%;Vyr's Grasping Gauntlets;Gloves;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Warzechian Armguards;Bracers;A;;
CC;Critical Hit Chance Increased by +8-10%;Zunimassa's String of Skulls (Witch Doctor);Mojo;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Drakon's Lesson;Bracers;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Ranslor's Folly (Season 3);Bracers;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Spirit Guards (Season 3);Bracers;A;;
CC;Critical Hit Chance Increased by +8-10%;Inna's Hold;Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Natalya's Touch;Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Tal Rasha's Grasp;Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Zunimassa's Finger Wraps;Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Fiendish Grips (Demon Hunter);Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Fierce Gauntlets (Wizard);Gloves;A;;
CC;Critical Hit Chance Increased by +8-10%;Gauntlet of the Wastes (Barbarian);Gloves;A;;
CC;BONUS After 5 consecutive non-critical hits, your chance to critically hit is increased to 100% for 3 seconds;Broken Promises;Ring;A;;
CC;Critical Hit Chance Increased by +15-16%;The Short Man's Finger;Ring;A;;
CC;Critical Hit Chance Increased by +4,5-6%;Convention of Elements;Ring;A;;
CC;Critical Hit Chance Increased by +8-10%;Homunculus (Witch Doctor);Mojo;A;;
CD;Critical Hit Damage Increased by +26-50%;Bul-Kathos's Wedding Band;Ring;A;;
CD;Critical Hit Damage Increased by +31-35%;Exarian;Sword;W;;
CD;Critical Hit Damage Increased by +26-50%;Gloves of Worship (Horadric Cache);Gloves;A;;
CD;Critical Hit Damage Increased by +31-35%;Nutcracker;Mace;W;;
CD;Critical Hit Damage Increased by +31-35%;Rabid Strike (Monk);Fist Weapon;W;;
CD;Critical Hit Damage Increased by +51-100%;Squirt's Necklace;Amulet;A;;
CD;Critical Hit Damage Increased by +31-35%;Starmetal Kukri (Witch Doctor);Ceremonial Knife;W;;
CD;Critical Hit Damage Increased by +51-100%;Tal Rasha's Allegiance;Amulet;A;;
CD;Critical Hit Damage Increased by +31-35%;The Barber;Dagger;W;;
CD;Critical Hit Damage Increased by +51-100%;The Traveler's Pledge;Amulet;A;;
CD;Critical Hit Damage Increased by +26-50%;The Witching Hour;Belt;A;;
CD;Critical Hit Damage Increased by +31-35%;Unbound Bolt;Bow;W;;
CDR;BONUS Reduces the cooldown of Heaven's Fury by 45–50%;Eberli Charo;Shield;A;;
CDR;BONUS Reduce the remaining cooldown of one of your skills by 1 seconds when you hit with a resource-spending attack;Obsidian Ring of the Zodiac;Ring;A;;
CDR;BONUS Your skill cooldowns are reduced by 8–10 seconds for 15 seconds after killing an elite pack;In-geom;Sword;W;;
CDR;BONUS Healing wells replenish all resources and reduce all cooldowns by 45–60 seconds;Trag'Oul Coils;Bracers;A;;
CHARM;BONUS Threatening Shout has a chance to Charm enemies and cause them to join your side;Skull of Resonance;Helm;A;;
CHARM;BONUS Chance to charm enemies when you hit them;The Tormentor;Staff;W;;
CLONES;BONUS Leave a clone of yourself behind after using Vault;Danetta's Spite (Demon Hunter);Hand Crossbow;W;;
CLONES;BONUS Summons shadow clones to your aid when you Stun an enemy. This effect may occur once every 30 seconds;Haunt of Vaxo;Amulet;A;;
COLD DMG;BONUS 10% chance on hit to instantly deal 10000% weapon damage as Cold to enemies that are Frozen;Rimeheart;Sword;W;;
COLD ELEM;Cold skills deal 15–20% more damage;Azurewrath;Sword;W;;
COLD ELEM;Cold skills deal 15–20% more damage;Etrayu;Bow;W;;
COLD ELEM;Cold skills deal 10–15% more damage;Frostburn;Gloves;A;;
COLD ELEM;Cold skills deal 15–20% more damage;Utar's Roar;Axe;W;;
COLD ELEM;Cold skills deal 15–20% more damage;Winter Flurry (Wizard);Source;A;;
COLD ELEM;Cold skills deal 25–30% more damage;Wrath of the Bone King;Mace 2H;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Azurewrath;Sword;W;;
COLD X-Y;(1177-1439)-(1410-1788) Cold Damage;Bastion's Revered (Barbarian);Mighty Weapon 2H;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Buriza-Do Kyanon;Crossbow;W;;
COLD X-Y;(1177-1439)-(1410-1788) Cold Damage;Crushbane;Mace 2H;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Etrayu;Bow;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Fjord Cutter (Barbarian);Mighty Weapon;W;;
COLD X-Y;(1177-1439)-(1410-1788) Cold Damage;Lai Yui Persuader (Monk);Daibo;W;;
COLD X-Y;(858-1049)-(1028-1304) Cold Damage;Natalya's Slayer (Demon Hunter);Hand Crossbow;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Night's Reaping (Barbarian);Mighty Weapon;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Rimeheart;Sword;W;;
COLD X-Y;(1177-1439)-(1410-1788) Cold Damage;Standoff;Polearm;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Starfire (Wizard);Wand;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Unbound Bolt;Bow;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Utar's Roar;Axe;W;;
COLD X-Y;(1177-1439)-(1410-1788) Cold Damage;Wrath of the Bone King;Mace 2H;W;;
COLD X-Y;(981-1199)-(1175-1490) Cold Damage;Eun-Jang-Do;Dagger;W;;
CONTROL;BONUS Drinking Kulle-Aid allows you to burst through walls summoned by Waller elites for 5 seconds;Bottomless Potion of Kulle-Aid;Legendary Potion;A;;
CONTROL;BONUS Chance on hit to create a chaos field that Blinds and Slows enemies inside for 3–4 seconds (Greatly increased proc chance);Cord of the Sherma;Belt;A;;
CONTROL;BONUS 15–20% chance on being hit by an Undead enemy to charm it for 2 seconds;Deathseer's Cowl;Helm;A;;
CONTROL;"- When you use Vengeance, you mesmerize nearby enemies with your skill, causing them to jump uncontrollably for 6–8 seconds.
- When you use Wrath of the Berserker, you mesmerize nearby enemies with your skill, causing them to jump uncontrollably for 6–8 seconds.
- When you use Archon, you mesmerize nearby enemies with your skill, causing them to jump uncontrollably for 6–8 seconds.
- When you use Big Bad Voodoo, you mesmerize nearby enemies with your skill, causing them to jump uncontrollably for 6–8 seconds.
- When you use Epiphany, you mesmerize nearby enemies with your skill, causing them to jump uncontrollably for 6–8 seconds.
- When you use Akarat's Champion, you mesmerize nearby enemies with your skill, causing them to jump uncontrollably for 6–8 seconds.";Halcyon's Amulet;Amulet;A;;
CONTROL;BONUS Chance to root enemies to the ground when you hit them;Hellrack;Crossbow;W;;
CONTROL;BONUS You may move unhindered through enemies;Illusory Boots (Horadric Cache);Boots;A;;
CONTROL;+10-20% Chance to Immobilize on Hit;Stone Gauntlets;Gloves;A;;
CONTROL;BONUS Chance on hit to pull in enemies toward your target and Slow them by 60–80%;The Ess of Johan;Amulet;A;;
CONTROL;BONUS Horrify causes you to Fear and Root enemies around you for 6–8 seconds (Now displays a buff icon indicating the duration of the Horrify effect);Tiklandian Visage (Witch Doctor);Voodoo Mask;A;;
CONTROL;"- 1,0-5,1% Chance to Slow on Hit
- 1,0-5,1% Chance to Chill on Hit
- 1,0-5,1% Chance to Blind on Hit";Wrath of the Bone King;Mace 2H;W;;
COWS;BONUS Chance on hit to summon a herd of murderous cows;Bovine Bardiche;Polearm;W;;
CRUS CDR;BONUS Every successful block has a 20–25% chance to reduce all cooldowns by 1 second;Akarat's Awakening (Crusader);Crusader Shield;A;;
